period,slot,sum,count,mean_lsi_5
train,40,41777.703749880835,34693,1.2042113322537928
train,41,41837.045213757374,34693,1.2059218059480983
train,42,41959.25677686685,34693,1.20944446363436
train,43,42790.20106096415,34693,1.2333958164749128
train,44,42136.46613415393,34693,1.214552391956704
train,45,43783.04476118386,34693,1.2620137999361214
train,46,46436.06670058266,34693,1.3384851901127797
train,47,46748.80927599883,34693,1.3474997629492644
train,48,45841.130433651495,34693,1.32133659336614
train,49,46621.867130566134,34693,1.3438407497352818
train,50,46901.94801374143,34693,1.3519138735117007
train,51,44859.21667400204,34693,1.2930336573372738
train,52,44213.7948865855,34693,1.2744298528978613
train,53,44648.94546005681,34692,1.2870098426166499
train,54,43965.30360759733,34693,1.267267276038317
train,55,43471.1792609234,34693,1.2530245081406453
train,56,44399.57271828359,34693,1.279784761141544
train,57,43462.622299522634,34692,1.2528139715070516
train,58,44461.04805626088,34693,1.2815567421745273
train,59,45085.060187527786,34693,1.2995434291507735
train,60,44699.19192832424,34693,1.2884210627021082
train,61,43773.86250817986,34693,1.2617491283019588
train,62,44461.94566224232,34693,1.2815826150013638
train,63,43972.28800311105,34693,1.2674685960600423
train,64,44654.13311963238,34693,1.2871222759528544
train,65,46234.07143267606,34693,1.3326628262956808
train,66,46978.91836777631,34693,1.3541324868929268
train,67,49714.61904670547,34693,1.4329870304299273
train,68,51742.05867621467,34693,1.491426474395834
train,69,53816.93814607281,34693,1.5512333365829651
train,70,56086.514630803234,34693,1.616652195855165
train,71,59798.60542183009,34693,1.7236504603761593
train,72,63242.769577343206,34693,1.8229259382971552
train,73,63093.8060906593,34693,1.8186321762505204
train,74,62673.35914154548,34693,1.80651310470543
train,75,60378.00273939976,34693,1.7403511584296474
train,76,56522.56112396004,34693,1.629220912690169
train,77,52434.897530063994,34693,1.5113970406152248
train,78,50758.67519330512,34693,1.4630811746838013
train,79,49967.0391146116,34693,1.440262851716819
train,80,48979.13736958272,34693,1.4117873164495063
train,81,48933.156473822615,34693,1.4104619512242416
train,82,47904.664927089725,34693,1.380816445020313
train,83,49143.708193017635,34693,1.4165309484050856
train,84,49746.72316883968,34693,1.4339124079451093
train,85,49498.814022937324,34693,1.4267666106401096
train,86,50039.17670371397,34693,1.4423421642323804
train,87,48539.40623476174,34692,1.3991527220904456
train,88,47400.69177587867,34693,1.3662897926347872
train,89,46846.97185081112,34693,1.3503292263802817
train,90,46923.609585506965,34693,1.352538252255699
train,91,47631.18435588598,34693,1.3729335703423162
train,92,48326.88494937253,34693,1.3929866240847586
train,93,47193.4141463205,34693,1.3603151686599746
train,94,47348.46647430051,34693,1.3647844370420694
train,95,47749.02369774725,34693,1.3763302019931183
train,96,47937.06264029424,34693,1.3817502850803978
train,97,48488.75180251865,34693,1.3976523161017684
train,98,48957.03593478008,34693,1.4111502589796234
train,99,49083.03328411799,34692,1.4148228203654443
train,100,49155.43159140949,34692,1.4169097080424735
train,101,48508.020817953904,34693,1.3982077311836365
train,102,47901.55259701594,34693,1.3807267344137417
train,103,48040.970936769,34692,1.3847852800867346
train,104,48988.11401367079,34693,1.412046061559127
train,105,50071.011020453974,34693,1.4432597648071361
train,106,50456.19418350301,34693,1.4543623838671493
train,107,50299.169817689384,34692,1.4498780646168967
train,108,50607.74048061143,34693,1.4587305935091064
train,109,49547.24324102813,34693,1.4281625469411159
train,110,49868.30922239708,34693,1.4374170357823504
train,111,49825.964566669136,34693,1.436196482479726
train,112,49252.35161236074,34693,1.4196625144081152
train,113,50197.38392826094,34692,1.4469440772587612
train,114,51631.90615130315,34693,1.4882514095438026
train,115,51768.78223951485,34691,1.49228278918206
train,116,51869.28165699664,34693,1.4950935824805187
train,117,52444.35785792307,34693,1.5116697275508912
train,118,50793.45680931515,34693,1.4640837289745812
train,119,49460.58159541629,34692,1.4257056841754956
train,120,49119.455478134245,34692,1.415872693362569
train,121,55647.06299285217,9284,5.993867190096097
train,122,122767.13939699648,34693,3.5386717607873774
train,123,122935.01702583871,34693,3.5435107089568127
train,124,124813.93910926094,34693,3.5976692447831247
train,125,124781.33912156022,34693,3.596729574310674
train,126,62603.61209999434,34693,1.804502697950432
train,127,53149.41142943645,34693,1.5319923739496857
train,128,53647.51903484178,34693,1.5463499563266878
train,129,53393.13315791536,34693,1.5390174720524419
train,130,53424.70410177307,34693,1.5399274810991577
train,131,52584.40624010482,34693,1.5157065183208376
train,132,52536.92056511154,34693,1.5143377789499766
train,133,53064.28978567566,34692,1.5295828947790748
train,134,53436.95481317448,34693,1.540280598771351
train,135,54532.92636668101,34693,1.5718711661338312
train,136,55055.74378581353,34692,1.5869867342849513
train,137,54051.849019012414,34693,1.5580044683080856
train,138,54096.11820223578,34693,1.5592804946887207
train,139,52694.54525540069,34693,1.5188811937682152
train,140,51276.812127780555,34693,1.4780160876194204
train,141,51656.46131329328,34693,1.488959193880416
train,142,52602.021992992326,34692,1.5162579843477553
train,143,51576.43488065494,34692,1.4866953441904456
train,144,51435.356010587064,34692,1.482628733154245
train,145,52598.8289231546,34692,1.5161659438243573
train,146,51712.99793010769,34693,1.4905888199379613
train,147,51954.55427945548,34693,1.4975515025929
train,148,51705.41815111774,34693,1.4903703384290128
train,149,53170.08964887371,34693,1.5325884082919814
train,150,53072.20208041482,34693,1.5297668717151822
train,151,52197.802972876394,34693,1.5045629658108666
train,152,53156.6384883473,34693,1.5322006885638977
train,153,51868.82011087477,34693,1.4950802787557942
train,154,50431.53291180366,34691,1.4537353466836833
train,155,49804.01131979896,34692,1.4356050766689428
train,156,48410.67606793428,34693,1.3954018409458473
train,157,48072.58635364793,34692,1.3856965973033533
train,158,47791.391415894745,34693,1.3775514200528851
train,159,46717.22427592373,34693,1.3465893487425051
train,160,48953.26907850453,34692,1.4110823555431953
train,161,49271.50229720664,34693,1.420214518698488
train,162,50772.00799961057,34693,1.4634654829392262
train,163,52572.10131855021,34693,1.5153518380811752
train,164,53540.334853921646,34693,1.5432604517891693
train,165,51533.315252890745,34693,1.4854096000026156
train,166,52184.711561503704,34693,1.5041856155853832
train,167,51208.96784844548,34693,1.4760605265743947
train,168,50832.80314869966,34693,1.46521785803187
train,169,50055.5067707939,34692,1.4428544555169462
train,170,50654.11201386806,34693,1.4600672185705492
train,171,50138.5513138987,34692,1.445248221892618
train,172,49747.9423792101,34693,1.4339475507799873
train,173,49187.84077493709,34693,1.4178030373544257
train,174,49263.11642835453,34693,1.4199728022469815
train,175,51062.51938465349,34693,1.4718392581977198
train,176,51079.44827642021,34692,1.4723696609137613
train,177,52050.75955186011,34693,1.5003245482333643
train,178,52017.24148402466,34693,1.4993584147817904
train,179,51079.419116728895,34693,1.4723263804435736
train,180,50895.263319740356,34693,1.467018226147648
train,181,51025.66186146885,34693,1.470776867421925
train,182,51906.14051060679,34692,1.49619913843557
train,183,52191.81858133757,34693,1.5043904701622104
train,184,51111.29386307641,34693,1.473245146371787
train,185,50161.40810161051,34693,1.4458653936416717
train,186,50142.73988831498,34693,1.4453272962359835
train,187,48582.605080225105,34692,1.4003979326710798
train,188,47993.60905395611,34693,1.3833801935248065
train,189,47213.997278978524,34693,1.3609084621963659
train,190,48083.1062067355,34693,1.3859598825911712
train,191,47531.83682058899,34693,1.3700699513039805
train,192,47965.13624963018,34693,1.3825594860528112
train,193,49068.370426770576,34693,1.414359393156273
train,194,49613.54546257332,34693,1.4300736593137902
train,195,49923.2388674311,34693,1.4390003420699018
train,196,52694.65622453199,34693,1.5188843923711408
train,197,53238.723300320635,34693,1.5345667224028086
train,198,53122.40492566273,34693,1.5312139315038404
train,199,52491.28730298462,34693,1.513022434006417
train,200,54253.61297316453,34692,1.5638652419337176
train,201,52970.56857860053,34693,1.5268373613870385
train,202,51823.600543215885,34693,1.4937768582485194
train,203,52366.85455240093,34693,1.5094357522382305
train,204,53330.64216009373,34693,1.5372162153775613
train,205,55521.86102997193,34691,1.6004687391534382
train,206,55799.45877511359,34693,1.6083780236679903
train,207,59523.38757731146,34693,1.715717510083056
train,208,61235.74380091073,34692,1.7651257869511914
train,209,61675.39247818765,34693,1.7777474556304629
train,210,61554.08940233171,34693,1.7742509844156373
train,211,59084.78260146427,34693,1.7030750468816265
train,212,52740.229790699115,34691,1.5202856588365603
train,213,48753.32792721957,34693,1.4052785267120045
train,214,47894.49824463177,34693,1.380523397937099
train,215,46524.717339912044,34693,1.341040479056641
train,216,46282.435190865785,34693,1.3340568757635771
train,217,46439.52714880389,34693,1.3385849349668202
train,218,48383.491158799974,34693,1.3946182560977711
train,219,48760.147867626445,34693,1.4054751064372193
