slot,LSI_5_mean,LSI_10_mean
97,0.6382689924109204,0.41165999351656973
98,0.6313248047229153,0.41476192615489793
99,0.6259164740923031,0.43634043474971357
100,0.6101361196384202,0.4365221441208391
101,0.5960961368509188,0.42016212464422964
102,0.5778589152308159,0.4137252548423022
103,0.5934665914074415,0.4197065157373902
104,0.6138600731079106,0.4305749734750698
105,0.6435428132992999,0.426156742149027
106,0.6470973545671217,0.4259248635664995
107,0.6516652802766065,0.4254135611446651
108,0.6598933117010624,0.45307209449974317
109,0.647592778351411,0.4451273100924364
110,0.6586661805076335,0.46225153200364477
111,0.6618870014704855,0.467362189769826
112,0.6411040779519825,0.4707697324842065
113,0.6582127352954772,0.47795320654358825
114,0.6934091086638934,0.47936698590770005
115,0.696028496055018,0.46915291380635876
116,0.6999019340934057,0.48041411514881244
117,0.711074165636442,0.480236508444268
118,0.6810920165457193,0.4695404179685773
119,0.649315791300569,0.46539510358914876
120,0.6381021868554096,0.4763045855866359
121,5.2840452190808955,3.27782556069234
122,6.478916350362977,3.589927587330621
123,6.744939930285386,3.620379525512373
124,6.977764993592658,3.6457489958690634
125,7.113972847503836,3.7352711892642483
126,1.1116283808543779,3.7487828720029532
127,0.8265598904176198,3.8083211767253204
128,0.8011022332306853,3.8365071459962534
129,0.7791461572014561,3.9114323786811287
130,0.7869574398695595,3.963999929521442
131,0.7685193789463909,0.8254469754431641
132,0.7495470535007349,0.6246722230078326
133,0.749418582267742,0.6044815801559471
134,0.7585309008344862,0.6020330094900678
135,0.7561444414996449,0.6093866249673484
136,0.7823424737153416,0.6243104797319292
137,0.7839492816501779,0.618030550195769
138,0.7933442043953364,0.6134474599943615
139,0.7478119835379141,0.595611076406022
140,0.7255374466657,0.5864981215273818
141,0.7363747648459438,0.5812894738828673
142,0.7541555959381052,0.5883791125605732
143,0.7293447979932262,0.5845784283276881
144,0.7229827465005253,0.568042707606762
145,0.7499029960104933,0.5576265801694592
146,0.736443304786719,0.5557614136151818
147,0.7213270530075387,0.5448063084857511
148,0.7125746835819936,0.5261161185597552
149,0.7442854836948469,0.5508058615889984
150,0.7311492335069689,0.546263809660764
151,0.69299072515875,0.5160555468260799
152,0.7223490703316622,0.5262675220946963
153,0.7016654594075491,0.5098572525380403
154,0.6903140976463797,0.5397240581328654
155,0.6875573828620263,0.5313343545530705
156,0.6835632619362038,0.5260969303937244
157,0.6917149743701829,0.533902842479812
158,0.6873987358131718,0.5261003676840652
159,0.6450731935603683,0.4973905633057977
160,0.7065329954310935,0.5274149022491199
161,0.6926136550219049,0.5390570803042913
162,0.7165943622078764,0.5400431649001507
163,0.7491523373635995,0.5388148114870814
164,0.7806048403433449,0.5522020264408507
165,0.7425960694012469,0.5629587438884169
166,0.7531733569583261,0.5641011996220238
167,0.7370649968934222,0.5549506548208061
168,0.7325754237313428,0.5495735936992038
169,0.69207893917558,0.5433425416812384
170,0.7055457905737524,0.5224647644796305
171,0.6956345771170084,0.5450110704010954
172,0.6817887337605887,0.5437871995919668
173,0.6705116510174095,0.5301836044748731
174,0.6743712158330215,0.49596055592923644
175,0.7129562836562771,0.4939948127497042
176,0.7333203044517307,0.49719194243346443
177,0.7579386786800469,0.5117595114549115
178,0.741925628629504,0.5235158311235955
179,0.7304992637519475,0.5204269565100689
180,0.7243731165289242,0.5189557227965897
181,0.6929924742668435,0.5005552432455099
182,0.6924294480550247,0.4960726513345948
183,0.6712691534024653,0.5072629187091782
184,0.6181024946850179,0.4835920705505955
185,0.5815039640605253,0.45654485261252015
186,0.5829979088813931,0.4329454212625034
187,0.5380727878536589,0.4177759551030587
188,0.5514058419164384,0.413347207135982
189,0.5496976340384704,0.39232131003063386
190,0.5680993208025578,0.3875575294614996
191,0.5702978273038029,0.39496879792417716
192,0.5914090992238304,0.3628726186629583
193,0.6725301679898356,0.40739057634297343
194,0.6943014823179908,0.4067096793576878
195,0.6985749877616025,0.4329995703764573
196,0.7462184889466618,0.470448681394819
197,0.7608075546439171,0.48868547917689104
198,0.6921495124694226,0.48685806289136513
199,0.669298669376049,0.481716534385161
200,0.7084904396806343,0.47548546439963785
201,0.6843751990481801,0.514351772782029
202,0.6329237879700187,0.5155301440460157
203,0.6248511195243651,0.4751622966315117
204,0.6438872859860002,0.47383935950447786
205,0.7027483144674692,0.49001151119417696
206,0.7202203921572641,0.5093090772197254
207,0.7953101990970992,0.5318221263729805
208,0.8228865216359796,0.5639994601352045
209,0.829188331734078,0.5588004241708635
210,0.8048933394507995,0.5556911341341759
211,0.7406806406026667,0.5369270065640094
212,0.589810587883898,0.5132536223934904
213,0.5158428686890311,0.4780623478385807
214,0.49423252928493494,0.4562431980695002
215,0.48901980118084326,0.4282240911368333
216,0.4969968303167129,0.3961108870263906
217,0.5206654781381134,0.36803199556067323
218,0.5628202214436792,0.35321203492113623
219,0.5803428281306314,0.3463458064945375
220,0.5608921322161222,0.33181189579760884
221,0.5090125403080029,0.33353128030328505
222,0.5009179522854481,0.33154165312690503
