code,rows,date_count,LSI_5_mean,LSI_5_std,Stress_H5_rate
600036.SH,173054,724,0.24098512763600727,7.566451049258111,0.057977575808763504
600048.SH,172979,724,2.035222813460612,29.133758343345836,0.09896920621395111
600050.SH,173027,724,1.050738468789058,25.897940071787776,0.060534924268722534
600089.SH,173027,724,2.070772906231755,12.866926541496719,0.15095308423042297
600104.SH,172900,724,1.1912411590205316,22.340774386575855,0.08707667142152786
600196.SH,172848,724,0.8417855967148629,7.669107484331587,0.08985984325408936
600276.SH,173063,724,0.015575629218148066,8.998999733238694,0.05929388478398323
600309.SH,173012,724,0.45403934813098246,4.652850687097977,0.08335195481777191
600406.SH,172909,724,-0.1924955513123774,4.662622013851172,0.06003815680742264
600436.SH,172715,724,0.3452209635494058,5.208329601705243,0.0787971243262291
600519.SH,172896,724,0.5275491588025006,4.881978313167608,0.07088172435760498
600570.SH,173020,724,1.1995619363057428,6.987833030303347,0.10592345893383026
600588.SH,172954,724,0.9662378939626738,8.38347024627681,0.0958290845155716
600690.SH,172928,724,0.03543849567034581,5.8207362441067545,0.053349994122982025
600809.SH,172884,724,0.6363865769005694,4.490244637011754,0.06872499734163284
600887.SH,172986,724,0.5532304523554372,6.681396882775724,0.061815764755010605
600900.SH,173036,724,0.3831851257296956,9.253117498186551,0.06835496425628662
600919.SH,168830,707,0.39892350310436264,17.305945834805808,0.057656388729810715
601012.SH,173132,724,1.9465340390944905,14.179168581807145,0.11758027970790863
601088.SH,170547,714,0.32395439632797285,4.66088901209238,0.06041094288229942
601111.SH,172891,724,1.3041620165866585,9.19216003507212,0.08639956265687943
601166.SH,172903,724,0.7770050593579768,17.32211714764759,0.06556496024131775
601186.SH,172767,724,2.2989378817625425,14.008259147093499,0.14622855186462402
601211.SH,168610,706,0.43477294766540314,9.710145357004272,0.07850413024425507
601238.SH,172765,724,2.2198869744602914,26.90215709000509,0.1336957961320877
601288.SH,173053,724,-0.17089411941445037,46.72555329440782,0.05487263575196266
601318.SH,173111,724,0.5051804316573462,6.438710374379208,0.0660327821969986
601328.SH,172849,724,0.5974440214532413,18.39393206770191,0.05584592744708061
601390.SH,172940,724,1.9575885476463781,20.410775275840326,0.10329726338386536
601398.SH,173068,724,-0.093317487375181,31.712510918171446,0.05356334149837494
601600.SH,173058,724,0.409261268181736,19.631394664942675,0.0695137083530426
601601.SH,172943,724,0.3264473885235214,4.709625608345745,0.05842524394392967
601633.SH,172930,724,0.543866121313341,5.392142501540508,0.06055762991309166
601668.SH,172931,724,1.6069199465793709,33.480211001161386,0.05289909616112709
601688.SH,172974,724,0.974828197430755,8.699683732167019,0.08407202363014221
601766.SH,172901,724,0.7262600221408403,10.804514473903552,0.07626550644636154
601857.SH,173018,724,1.2346312067147316,18.776136758229335,0.07594233751296997
601888.SH,173090,724,1.0407405123679696,6.719265756087821,0.08668207377195358
601899.SH,173139,724,0.1615691214754189,12.325112603093123,0.06422694772481918
603259.SH,173101,724,0.8537290180471939,8.647537748254145,0.07894562184810638
603288.SH,172887,724,-0.01343673641567717,4.657862333151431,0.05949953570961952
603501.SH,173020,724,-0.19698374936309385,4.667519230468079,0.060942865908145905
603799.SH,173098,724,0.5516936879443429,5.652952132677766,0.09082231670618057
603806.SH,172949,724,1.115980252587794,6.84937001387353,0.08773858845233917
688981.SH,171594,718,0.8958917544199262,9.982215861219546,0.08478382229804993
