slot,LSI_5_mean,LSI_5_q25,LSI_5_q50,LSI_5_q75
30,0.3408968879682495,-1.9696720756364106,-0.35804456299641285,1.7845193314788388
31,0.36704675022331723,-1.909388606491838,-0.24966778010254903,1.7738745216942848
32,0.265473863130309,-1.9586425749840957,-0.29668204515566143,1.6609472315987404
33,0.26313593031433463,-1.97727339736912,-0.38377228507427275,1.6713640738914832
34,0.31922332132868214,-1.9099787249659121,-0.2731000560504712,1.85019780584987
35,0.3291972287848972,-1.9130415091551498,-0.2971611381879734,1.8169303136597712
36,0.46860973841910725,-1.853388398974056,-0.2517582199768561,1.8926178201749209
37,0.41343786606762983,-1.9593035999920634,-0.27151679550384744,1.8488694819881522
38,0.43771611754205086,-1.892297394333205,-0.2924753927023989,1.882142220409448
39,0.39129933483553686,-1.9228448954225064,-0.27937377925150025,1.8403006358919263
40,0.3334865846452067,-1.9399467344177737,-0.2985304243803592,1.7612146374678659
41,0.4575742956629585,-1.9446574179658875,-0.2564478616095985,1.9829351553826942
42,0.40049190950850677,-1.9261934550257516,-0.2926125649561645,1.8317591860016889
43,0.4541604285737034,-1.9057574652541591,-0.2681422472291887,1.8448053955347217
44,0.4104998526274759,-1.8985372935417884,-0.2590945615353699,1.8374167531538839
45,0.4994938862797556,-1.8099739099088195,-0.19751827073046635,1.9387835966526923
46,0.4360913033326503,-1.9050244489724015,-0.31070700135238194,1.864057204850809
47,0.5792707068269779,-1.8766785757913296,-0.1756884882743358,1.970802153021065
48,0.5116745801884715,-1.9185904235110678,-0.2563547156093063,1.9683855045342091
49,0.5085278376468524,-1.8939218565630354,-0.18878645575167002,1.9199448745290113
50,0.46584775372020604,-1.9596000836290368,-0.2972436359276126,1.9505463777123373
51,0.5072296014215854,-1.8650881189368582,-0.20899664373018323,1.9366036474883526
52,0.41181418210959364,-1.905920241063086,-0.23255973278736153,1.8288989909799787
53,0.5136123218350487,-1.844253859641346,-0.23129756281535502,1.9024216472098847
54,0.4715333045917568,-1.8418267970337028,-0.17643251567741508,1.9459834737743833
55,0.4230963945576919,-1.9103068730218515,-0.241728983216593,1.8876768974416192
56,0.5156465302392217,-1.8636006852373976,-0.26919514972963754,2.0314897794905438
57,0.48605891218349906,-1.8869707020763613,-0.250725361076371,1.9060858460621886
58,0.4764019591499449,-1.9213306103634664,-0.23496391471712577,1.9855026749411766
59,0.4584479146304908,-1.832374246296682,-0.29886877912837706,1.8516796531573445
60,0.5389007172705023,-1.9312942578711916,-0.21106871390736304,1.8618788396909225
61,0.5048296718572747,-1.8938471973756705,-0.2424511714650213,1.940599708845991
62,0.4649197864037661,-1.8479459650163181,-0.19038407823009867,1.943480355336051
63,0.488710601140464,-1.8347325191440422,-0.23087205236876487,1.8558674106040849
64,0.542849668180949,-1.8787887397577812,-0.16153851196726693,1.982491325402481
65,0.5030375564882462,-1.9317238788144935,-0.25110791085993567,1.9077741186669703
66,0.5428914262848474,-1.933507042019956,-0.2907224061179735,1.9578187878621325
67,0.49414451346500765,-1.970015252846066,-0.3115146157718136,1.9503068082770392
68,0.7169990667971063,-1.916248970315498,-0.30965497305340717,1.955939583211019
69,0.7461770832882472,-1.8747409122958896,-0.17610141793846934,2.0614377740931857
70,0.9674793644558666,-1.8775397636778035,-0.2395415670408766,1.9830053684023314
71,1.0388846738462583,-1.8294269754294963,-0.20889997994625542,1.9877147571949858
72,0.717854059172652,-1.9002416675858358,-0.20247545166016012,2.033376394727122
73,0.8271086619021715,-1.9027696341247162,-0.1902626539254797,1.966023221786044
74,0.862934113538217,-1.8337276011595738,-0.15826822964873388,2.084713067518855
75,0.8964361034910502,-1.8712668675629422,-0.2049869268972594,2.004588772645808
76,0.8387369006229776,-1.7984487223304184,-0.12631151538610125,2.0871227581714504
77,0.7372464243523279,-1.8824481689652974,-0.19355976715915169,2.0969752637740937
78,0.643402478937678,-1.8570311285620313,-0.2064529787266789,1.9480151343048235
79,0.48320939595186324,-1.950820837670173,-0.2995284241276053,1.953755872968943
80,0.6178467896778778,-1.8191587049537503,-0.17062495626770616,1.9702136968843194
81,0.5672261347446007,-1.8991192922465459,-0.21782014251772566,2.022032591033346
82,0.5996126728933208,-1.9027708810304969,-0.2847970385494154,2.003224922912791
83,0.6199335468091681,-1.875539850262584,-0.191785713151337,2.060097478673444
84,0.6420803847271208,-1.8337704528705556,-0.2366292688078405,1.9780790568509083
85,0.6149480343589747,-1.848449773941883,-0.18204533514810153,2.04308288647723
86,0.6501742688698805,-1.8678082803444909,-0.19062030864857485,2.0320887042456683
87,0.6215649276801408,-1.8843707825967515,-0.23595397694882192,2.0533777083004803
88,0.624313203321304,-1.9075298541445784,-0.18676994384171394,1.999566904105021
89,0.6317472833994782,-1.888130459744831,-0.18044023667994047,2.027357567491025
90,0.5813487025009629,-1.9516208885649098,-0.2294975888106417,2.0167830742710846
91,0.6418314622970086,-1.924674740051913,-0.20432676580188427,2.0255457614308634
92,0.5352224172372361,-1.9181385974213248,-0.2537726843779172,1.8951475303946277
93,0.44088631888735186,-2.019056817001819,-0.33060202067166544,1.9273802785393461
94,0.5992825836055456,-1.9076389639630138,-0.19646192912943783,1.9984982031021428
95,0.6213234259375559,-1.845058303209777,-0.2067104334554628,2.090054318772865
96,0.5986117669844161,-1.866074146556191,-0.19109585654777606,2.0962452630480666
97,0.636843233011481,-1.8194299543477945,-0.15639782717082862,2.1440948633423673
98,0.7763242144380732,-1.828845044371957,-0.1858880636195105,2.0177757630696025
99,0.48655702698589737,-1.8468866411834597,-0.23094079517532182,1.87368277026912
100,0.6275858674942637,-1.9514049522863413,-0.2569576724329887,1.8705392593591887
101,0.49349580842723917,-1.9187558241403675,-0.2235380329069561,1.9444140251434432
102,0.530209197314742,-1.91985000441581,-0.2707787015584293,1.9336370234450615
103,0.5477072322876494,-1.8620997064862224,-0.2033205022598049,1.9731618119726795
104,0.6699956040715277,-1.887455013098536,-0.16388717579031953,2.1309088156536413
105,0.6090269028560463,-1.9321072049998662,-0.2134753288436864,2.0140034020514572
106,0.6280985329551829,-1.8628993047414835,-0.24363763883149497,1.9454338176970813
107,0.6590499524679811,-1.8657499302168619,-0.20597533579890426,2.0487816760136095
108,0.6284569239642099,-1.8903401108288385,-0.21247843999898064,2.024024840908077
109,0.6166637938787153,-1.9019592210311864,-0.30386755034193635,2.0295814610380685
110,0.7327110562425397,-1.8385588525353391,-0.19113345459567443,2.060094282805145
111,0.6097155614043316,-1.9177517016579175,-0.24294055584303867,1.9857885977952527
112,0.4944002675644562,-1.9802355790536488,-0.3196257295758241,1.9132457649672223
113,0.7329205292047568,-1.8750583877387565,-0.1702016363667389,2.059919520550543
114,0.691471523149331,-1.8982611199623576,-0.26046565038779923,2.0346451383439703
115,0.6372619563451172,-1.8865130913314792,-0.2742221198470954,2.049265022670542
116,0.69647025952297,-1.9110933002740702,-0.24774820872730624,2.0827969128179458
117,0.6372262294010697,-1.9043461736817702,-0.21525295623710683,2.1130703851683124
118,0.7189721628923927,-1.9129292079453801,-0.1605194973631895,2.0908699470603556
119,0.720049843954059,-1.924173384158013,-0.28625502783654894,1.9721750777709688
120,0.5723653960696599,-1.9715001665672072,-0.3217969167770306,1.9645059388630326
121,7.006605557312345,-1.4005496772101496,0.28755782721839107,4.035434436897132
122,6.341533012757301,-1.483609155494573,0.2738058706990536,3.253576040483542
123,5.968337026866452,-1.517301478465751,0.28857878916748414,3.334081922265021
124,6.990619582796474,-1.3597243669405907,0.4099590744002981,3.395651242999172
125,6.5251460464612965,-1.3785113534520583,0.5362564494441344,3.6003418414443282
126,1.0367995420954412,-1.685599269861827,-0.07823891721445553,2.176636770844678
127,0.859399644380863,-1.7481652940323287,-0.05419616559465612,2.110269358780323
128,0.8473741600023311,-1.8371071508462657,-0.19182936915161292,2.1432236853891853
129,0.7739134134384847,-1.7920235853756905,-0.09677889586423283,2.0932173376913656
130,0.8220734485660242,-1.8318062044370442,-0.15663564862859108,2.0983910375176373
131,0.8326276785131476,-1.848158615279738,-0.168017774814197,2.2052617405365753
132,0.7848005841236818,-1.845093997509949,-0.1225833772393205,2.0081439798968495
133,0.7138250307610237,-1.8450304448039465,-0.1903908580374703,2.0535262970930295
134,0.6531516621337488,-1.8978387254454394,-0.2293374299552262,2.077230812285145
135,0.7438205045372195,-1.8596300738772071,-0.1945754605534578,2.0431698197664665
136,0.8370842936482189,-1.890831389669698,-0.2340623692899781,2.1090197110571007
137,0.6876160615293334,-1.882278455190169,-0.2496319928063685,2.028186440604513
138,0.7325951363281124,-1.8832598882094886,-0.2530769497497361,2.0738749366435556
139,0.74031016843451,-1.9700894280123165,-0.2725350581183372,2.0373785197905385
140,0.7062414753357267,-1.8843035323067125,-0.21312808443276987,2.065293223865564
141,0.8545154706034771,-1.8863708443900187,-0.18653305861884578,2.077311492358553
142,0.8098611085516529,-1.8371023881997561,-0.14915472521303497,2.1893801340320453
143,0.6987376068603044,-1.924758913116067,-0.29057951604196214,2.0163676638106574
144,0.7041414308187399,-1.8832740480514611,-0.19048807583203503,2.054892486391843
145,0.7070169507769787,-1.9633567363629807,-0.21633397558072986,2.0354160109599784
146,0.714640285148583,-1.8705787114510604,-0.2005835478906125,2.063845691327305
147,0.6697893360499033,-1.9060275031946747,-0.1576309870606247,2.099389751872069
148,0.638434422712063,-1.986003639059895,-0.33247909744377957,2.0602425477599238
149,0.850024952572075,-1.8854349617827284,-0.14463486874231468,2.077679075561956
150,0.6840885222722828,-1.920878752882713,-0.29190547839471725,2.1001178655879618
151,0.6571034141717979,-1.9570920716565745,-0.26853632210007994,2.0330858613398224
152,0.7063813986029056,-1.9207812799355777,-0.25319236469793904,2.0334517780956283
153,0.6809370697005879,-1.8812115842490482,-0.21675830602810464,2.0065037130327963
154,0.64216048735859,-1.8908053730939942,-0.17698737041601387,2.002209052786382
155,0.735330873358265,-1.8865245687626113,-0.16414287300039987,2.1026543898080594
156,0.6041269824867141,-1.9835539843933883,-0.2869875061805084,1.9545005761159064
157,0.6747271123194436,-1.8985451742034662,-0.22370792071693135,2.049893359260776
158,0.6590274325555135,-1.919942705029385,-0.21789712317643373,2.0758947064772073
159,0.6199399628372719,-1.9307292502018703,-0.2853992501264271,1.9185695737462762
160,0.7323243737533307,-1.9143158516330794,-0.2276967677543176,2.0220257476031653
161,0.761087765662673,-1.9370285873927968,-0.2070542955844069,2.191073638506342
162,0.7123928850040873,-1.8601003235621745,-0.20037418969151066,1.9606540790910707
163,0.7282861830240107,-1.9124754838014852,-0.2114643924123672,2.099492017696935
164,0.8033615502431212,-1.8955168213476499,-0.11606992021835605,2.191405632072535
165,0.8209512796110318,-1.9443676968232428,-0.23867924236771576,2.049982753955425
166,0.7445949007730174,-1.91047601069678,-0.23045781237857593,2.057230935502364
167,0.6713430571560812,-1.9930672254822968,-0.25077163014692566,2.113448590876298
168,0.744336085593677,-1.9121693373774338,-0.22451850829112363,2.121793160989505
169,0.7419778850177775,-2.005163366552765,-0.24067121691165383,2.0856838794903836
170,0.6051135447832214,-1.9680526247086192,-0.3240932374883933,1.910113388331987
171,0.7591462451692347,-1.9250741146913346,-0.21539195322512183,2.1257143566742767
172,0.646279262882803,-1.962979589925974,-0.25801018315682495,2.0901516600674546
173,0.563755568431873,-1.9550310733862633,-0.27020357429095715,2.0756015721026357
174,0.7826355603828404,-2.01132775322405,-0.26129867823221475,2.088121777682509
175,0.6605312963121238,-1.9252010012762768,-0.26122695187024814,2.0108872599682734
176,0.7082325767127897,-1.9193639472137214,-0.2696894865849836,2.0948344871010693
177,0.8854957904753559,-1.875440666569721,-0.17134644298224577,2.198049034337829
178,0.712578955971915,-1.9228600817088615,-0.22478040634755025,2.041330548909607
179,0.6414203061915507,-2.009566603481662,-0.18435157371713584,2.0756489469057753
180,0.6940368647954661,-1.9206781964074722,-0.26166200919896243,1.986440258504059
181,0.5577885656684965,-1.9891741516643542,-0.29753861733539905,1.9104991914183724
182,0.5900525579039654,-2.054878525076487,-0.3075343489470971,1.9557326505779815
183,0.6787431914221009,-2.033674327486219,-0.308839435149311,1.9755407402426246
184,0.46518932686718806,-2.007879616676571,-0.36091811094177506,1.8680657502562323
185,0.5273526830168109,-2.040238379670702,-0.34924569061720123,1.913373283168038
186,0.6100398819227262,-1.9746245088962175,-0.25075586456577437,1.962406507050658
187,0.4633996734267671,-2.048087808045783,-0.43950139429972424,1.938669120350042
188,0.5312935565680529,-2.037669613691124,-0.36201635719997843,1.9772284610682638
189,0.5934972144494053,-2.0057364449792714,-0.28733376863641813,2.043571552876425
190,0.6054495430624416,-1.8907513134489355,-0.2549355852963425,1.9882661276074702
191,0.5355985819075371,-1.9891364055668843,-0.33958936293510145,1.9512625595654733
192,0.5036574551627533,-1.953319637045103,-0.3280000979449822,1.9466291074462012
193,0.6360893346330047,-1.9939390549595937,-0.25685552445661475,2.120344033203768
194,0.6508662667856228,-2.010838726363416,-0.32563440177979813,2.1120604169121338
195,1.4678312417707366,-1.954415368958339,-0.2677356118541195,2.0852735943171306
196,0.5776688126053552,-1.9678981973623073,-0.3103172942831699,2.08808388849581
197,0.41746181802789295,-2.0711747881411755,-0.36573930883258243,1.9392971571393411
198,0.621927841760372,-2.037810641211646,-0.2882167246534295,2.037078038463755
199,0.7161886767848612,-1.9907054805927977,-0.2262589511695186,2.1879664852807332
200,0.7436829670181253,-2.0152245952710635,-0.25823703558584254,2.1712314045678105
201,0.719660421187256,-1.970800805838553,-0.26781420365098485,2.0080255113573906
202,0.5190068106318462,-2.0725166341678274,-0.3945644945053086,1.9453211853256802
203,0.5352980602898351,-2.0896882675516473,-0.3328925603668042,1.9912583544068028
204,0.6749187901987805,-2.064993027478791,-0.31505053435419894,2.069665159387041
