horizon,model,feature_group,recall,precision,event_rate
H5,Naive,P,0.36007417096695365,0.060725064543107526,0.02871772305677869
H5,Naive,P,0.36514827006281536,0.06098295799634625,0.02871772305677869
H5,Naive,P,0.3686987020080783,0.06098387315354384,0.02871772305677869
H5,Naive,P,0.37255099253978063,0.061034223719936796,0.02871772305677869
H5,Naive,P,0.37732323304920296,0.06123277317981208,0.02871772305677869
H5,Naive,P,0.3820667251218215,0.06142313096206463,0.02871772305677869
H5,Naive,P,0.3864652359527951,0.061555016255323045,0.02871772305677869
H5,Naive,P,0.39099311474938553,0.061704758123972095,0.02871772305677869
H5,Naive,P,0.3961678333740603,0.06195306933052202,0.02871772305677869
H5,Naive,P,0.39999137546895885,0.061987512056901894,0.02871772305677869
H5,Naive,P,0.4045623769207549,0.0621361409581925,0.02871772305677869
H5,Naive,P,0.4086015322916816,0.06220104069566435,0.02871772305677869
H5,Naive,P,0.4130431657778608,0.062325668154587614,0.02871772305677869
H5,Naive,P,0.4159611321134413,0.06222021544217248,0.02871772305677869
H5,Naive,P,0.4193965703114893,0.06219331790064246,0.02871772305677869
H5,Naive,P,0.42253014992309795,0.0621223680678982,0.02871772305677869
H5,Naive,P,0.42678491857005274,0.06221619662086698,0.02871772305677869
H5,Naive,P,0.4299041239632595,0.06214429827933351,0.02871772305677869
H5,Naive,P,0.43328206528769997,0.06211068778577036,0.02871772305677869
H5,Naive,P,0.43673187770414984,0.062087723456951585,0.02871772305677869
H5,Naive,P,0.441518492431974,0.062253749493311715,0.02871772305677869
H5,Naive,P,0.44485331110120885,0.062214038163089715,0.02871772305677869
H5,Naive,P,0.44951055786341615,0.06235842133809782,0.02871772305677869
H5,Naive,P,0.4532047319926979,0.062367837510113086,0.02871772305677869
H5,Naive,P,0.45692765455878337,0.06238115142559417,0.02871772305677869
H5,Naive,P,0.460521209159252,0.062376733038563455,0.02871772305677869
H5,Naive,P,0.4639853957941037,0.062354997923367426,0.02871772305677869
H5,Naive,P,0.468642642556311,0.062492572501964695,0.02871772305677869
H5,Naive,P,0.4721499518463684,0.062475986868383314,0.02871772305677869
H5,Naive,P,0.4762322298725007,0.06253515490809705,0.02871772305677869
H5,Naive,P,0.4789058344952493,0.06240985160403265,0.02871772305677869
H5,Naive,P,0.4827293765901479,0.062435046766328245,0.02871772305677869
H5,Naive,P,0.4863948022826259,0.06243968328071286,0.02871772305677869
H5,Naive,P,0.48978711782546824,0.06240945098218783,0.02871772305677869
H5,Naive,P,0.4922882318273944,0.06226693986934997,0.02871772305677869
H5,Naive,P,0.49648550360074173,0.062339368737185596,0.02871772305677869
H5,Naive,P,0.4992741019707053,0.06223526629254553,0.02871772305677869
H5,Naive,P,0.5019333323750521,0.06211665172408886,0.02871772305677869
H5,Naive,P,0.5055125127571188,0.06211276660379091,0.02871772305677869
H5,Naive,P,0.5078267619198206,0.06195450695407731,0.02871772305677869
H5,Naive,P,0.5103135017033449,0.06181947987497497,0.02871772305677869
H5,Naive,P,0.5136483203725798,0.061788359221135375,0.02871772305677869
H5,Naive,P,0.5170118874786184,0.061760998945694694,0.02871772305677869
H5,Naive,P,0.5204329514582644,0.061740942467659585,0.02871772305677869
H5,Naive,P,0.5237390216906955,0.06170761200551433,0.02871772305677869
H5,Naive,P,0.5269732208311173,0.061666324646008616,0.02871772305677869
H5,Naive,P,0.5292443473386135,0.06151355523589468,0.02871772305677869
H5,Naive,P,0.5320904425821846,0.06142931819879023,0.02871772305677869
H5,Naive,P,0.5355690034354382,0.06141873503022391,0.02871772305677869
H5,Naive,P,0.5381563627477756,0.061306766358323384,0.02871772305677869
H5,Naive,P,0.5415199298538143,0.061284015044052,0.02871772305677869
H5,Naive,P,0.5441360376029554,0.06117762277543263,0.02871772305677869
H5,Naive,P,0.5471689976857509,0.06111917484457689,0.02871772305677869
H5,Naive,P,0.5495407437220601,0.06098809941613757,0.02871772305677869
H5,Naive,P,0.5526599491152668,0.06094102915652911,0.02871772305677869
H5,Naive,P,0.5549454498411649,0.06080330861218775,0.02871772305677869
H5,Naive,P,0.5574609380614929,0.06069237065194767,0.02871772305677869
H5,Naive,P,0.5597895614425965,0.06056261148269851,0.02871772305677869
H5,Naive,P,0.5629806379278127,0.06052710475642963,0.02871772305677869
H5,Naive,P,0.565812358952982,0.06045373706471559,0.02871772305677869
H5,Naive,P,0.5683422213917119,0.0603492223392402,0.02871772305677869
H5,Naive,P,0.5705558510256005,0.06021261684369567,0.02871772305677869
H5,Naive,P,0.572553867383461,0.06005497098418566,0.02871772305677869
H5,Naive,P,0.574494386867714,0.05989333181478279,0.02871772305677869
H5,Naive,P,0.5770242493064439,0.05979471122981111,0.02871772305677869
H5,Naive,P,0.5798272218948095,0.05972540350700557,0.02871772305677869
H5,Naive,P,0.5817964898158663,0.05957146810001236,0.02871772305677869
H5,Naive,P,0.584225732725783,0.05946626090009949,0.02871772305677869
H5,Naive,P,0.586410613922868,0.05933756494318744,0.02871772305677869
H5,Naive,P,0.5886673662119623,0.059217604053397495,0.02871772305677869
H5,Naive,P,0.5919159395707858,0.059198146095602006,0.02871772305677869
H5,Naive,P,0.594187066078282,0.05908180722839906,0.02871772305677869
H5,Naive,P,0.5965875605513951,0.0589795950268651,0.02871772305677869
H5,Naive,P,0.5992611651741436,0.058905396717744384,0.02871772305677869
H5,Naive,P,0.6009716971639667,0.05873782997794293,0.02871772305677869
H5,Naive,P,0.6033578174186779,0.05863789649555623,0.02871772305677869
H5,Naive,P,0.6055570728341646,0.05852102717404894,0.02871772305677869
H5,Naive,P,0.6080725610544927,0.058435772865346174,0.02871772305677869
H5,Naive,P,0.6101137000675588,0.05830621443004971,0.02871772305677869
H5,Naive,P,0.612384826575055,0.05819994508279247,0.02871772305677869
H5,Naive,P,0.6150296827609999,0.058130166903288476,0.02871772305677869
H5,Naive,P,0.6175595451997298,0.05805026347790839,0.02871772305677869
H5,Naive,P,0.6203193951328897,0.05799280784364316,0.02871772305677869
H5,Naive,P,0.622001178685909,0.057835731126401384,0.02871772305677869
H5,Naive,P,0.6242004341013957,0.05772820087419839,0.02871772305677869
H5,Naive,P,0.6262128246776582,0.057604554944815194,0.02871772305677869
H5,Naive,P,0.6277796144834624,0.057441527986205825,0.02871772305677869
H5,Naive,P,0.6299501214621455,0.057335173640865295,0.02871772305677869
H5,Naive,P,0.6317900214175854,0.05720000676722943,0.02871772305677869
H5,Naive,P,0.633888657304259,0.05708948364562809,0.02871772305677869
H5,Naive,P,0.6365191392718021,0.05702783522945326,0.02871772305677869
H5,Naive,P,0.6383877876640458,0.05689892408095913,0.02871772305677869
H5,Naive,P,0.6402708102746913,0.056772616386221525,0.02871772305677869
H5,Naive,P,0.6419382196093087,0.05662851194031176,0.02871772305677869
H5,Naive,P,0.6440224812775805,0.05652253445611379,0.02871772305677869
H5,Naive,P,0.6460492460722448,0.05641261222589144,0.02871772305677869
H5,Naive,P,0.6481766303957223,0.056312541913150334,0.02871772305677869
H5,Naive,P,0.6502033951903865,0.05620470969473464,0.02871772305677869
H5,Naive,P,0.6521295404562377,0.05608937110868243,0.02871772305677869
H5,Naive,P,0.6543719185269301,0.05600224382946896,0.02871772305677869
H5,Naive,P,0.6561255731719587,0.055874360418145766,0.02871772305677869
H5,Naive,P,0.6583248285874456,0.055785428479204854,0.02871772305677869
H5,Naive,P,0.6605528324397361,0.05569986024733676,0.02871772305677869
H5,Naive,P,0.6622058675559517,0.05556688011791483,0.02871772305677869
H5,Naive,P,0.6633845534649053,0.05539558069274784,0.02871772305677869
H5,Naive,P,0.6652244534203453,0.055280817810650744,0.02871772305677869
H5,Naive,P,0.6672224697782058,0.05518030066357111,0.02871772305677869
H5,Naive,P,0.667998677571907,0.05498018337769891,0.02871772305677869
H5,Naive,P,0.6698960744009544,0.05487381283748619,0.02871772305677869
H5,Naive,P,0.6716066063907775,0.0547531520298498,0.02871772305677869
H5,Naive,P,0.6736046227486381,0.05465702025815767,0.02871772305677869
H5,Naive,P,0.6746826891287786,0.05448749574833387,0.02871772305677869
H5,Naive,P,0.6763213500265923,0.05436455483250758,0.02871772305677869
H5,Naive,P,0.6780318820164154,0.05424857046908855,0.02871772305677869
H5,Naive,P,0.679670542914229,0.054127936260817806,0.02871772305677869
H5,Naive,P,0.6810073452256034,0.05398448502969449,0.02871772305677869
H5,Naive,P,0.6825166381578002,0.05385589957001029,0.02871772305677869
H5,Naive,P,0.6842271701476232,0.053744356114364684,0.02871772305677869
H5,Naive,P,0.686081444321465,0.05364506590149674,0.02871772305677869
H5,Naive,P,0.6876482341272693,0.05352429733905733,0.02871772305677869
H5,Naive,P,0.6893875145538961,0.05341792284919349,0.02871772305677869
H5,Naive,P,0.6910980465437192,0.05331034406289155,0.02871772305677869
H5,Naive,P,0.6928229527519442,0.053204829597511466,0.02871772305677869
H5,Naive,P,0.6946197300521784,0.05310574773780768,0.02871772305677869
H5,Naive,P,0.6961146487659734,0.05298450880358161,0.02871772305677869
H5,Naive,P,0.6976239416981702,0.05286548510043603,0.02871772305677869
H5,Naive,P,0.6998806939872645,0.052803898964418915,0.02871772305677869
H5,Naive,P,0.7012893673906482,0.05267914504904792,0.02871772305677869
H5,Naive,P,0.7027699118860412,0.052560794684899693,0.02871772305677869
H5,Naive,P,0.7046960571518923,0.05247670794156434,0.02871772305677869
H5,Naive,P,0.7065072086705285,0.05238481968904407,0.02871772305677869
H5,Naive,P,0.7084621023731834,0.05230433232305224,0.02871772305677869
H5,Naive,P,0.710115137489399,0.05220228729749978,0.02871772305677869
H5,Naive,P,0.7116963015136052,0.05209590478124497,0.02871772305677869
H5,Naive,P,0.7132343428826058,0.051987280566192916,0.02871772305677869
H5,Naive,P,0.71572108266613,0.05194843133306694,0.02871772305677869
H5,Naive,P,0.7170866334143081,0.05182881851446287,0.02871772305677869
H5,Naive,P,0.7183371904152712,0.05170198369919448,0.02871772305677869
H5,Naive,P,0.719501502105823,0.051570024170068264,0.02871772305677869
H5,Naive,P,0.7209964208196179,0.05146275749846614,0.02871772305677869
H5,Naive,P,0.7228363207750579,0.051380846848558974,0.02871772305677869
H5,Naive,P,0.7238425160631891,0.051240644921674273,0.02871772305677869
H5,Naive,P,0.7253805574321897,0.051139087088657366,0.02871772305677869
H5,Naive,P,0.7264155011571246,0.05100303478956807,0.02871772305677869
H5,Naive,P,0.7283416464229757,0.050930355979768575,0.02871772305677869
H5,Naive,P,0.7298365651367706,0.0508282846079613,0.02871772305677869
H5,Naive,P,0.7311158705745375,0.050712080847398144,0.02871772305677869
H5,Naive,P,0.7323951760123043,0.050596760147007855,0.02871772305677869
H5,Naive,P,0.73358823613966,0.05047647777343692,0.02871772305677869
H5,Naive,P,0.735643749371128,0.05041626071682943,0.02871772305677869
H5,Naive,P,0.7369949259009041,0.050308442402661815,0.02871772305677869
H5,Naive,P,0.7380873664994466,0.05018383538669935,0.02871772305677869
H5,Naive,P,0.739179807097989,0.05006025843958872,0.02871772305677869
H5,Naive,P,0.7406172289381765,0.04996092257627855,0.02871772305677869
H5,Naive,P,0.7423996320200089,0.049885543739677206,0.02871772305677869
H5,Naive,P,0.7435495694921589,0.049768370414912805,0.02871772305677869
H5,Naive,P,0.7449438686771407,0.0496684457538151,0.02871772305677869
H5,Naive,P,0.7466687748853656,0.04959125047853719,0.02871772305677869
H5,Naive,P,0.7481636935991606,0.04949943271894529,0.02871772305677869
H5,Naive,P,0.7497592318417686,0.04941490329230583,0.02871772305677869
H5,Naive,P,0.7513978927395822,0.049333897070204115,0.02871772305677869
H5,Naive,P,0.7533384122238354,0.049273250347862056,0.02871772305677869
H5,Naive,P,0.7548908278112377,0.0491877746599181,0.02871772305677869
H5,Naive,P,0.7561413848122008,0.04908330370830686,0.02871772305677869
H5,Naive,P,0.7575931808707902,0.04899267782329544,0.02871772305677869
