task,horizon,period,feature_group,model,top_frac,hit_rate,lift
onset,H10,test,P,LightGBM,0.100000,0.155000,2.430765
onset,H10,test,P,LightGBM,0.200000,0.178750,2.803221
onset,H10,test,P,SMARTBoost,0.010000,0.075000,1.176176
onset,H10,test,P,SMARTBoost,0.050000,0.140000,2.195529
onset,H10,test,P,SMARTBoost,0.100000,0.155000,2.430765
onset,H10,test,P,SMARTBoost,0.200000,0.178750,2.803221
onset,H10,test,M,Logit,0.010000,0.000000,0.000000
onset,H10,test,M,Logit,0.050000,0.075000,1.176176
onset,H10,test,M,Logit,0.100000,0.100000,1.568235
onset,H10,test,M,Logit,0.200000,0.108750,1.705456
onset,H10,test,M,LightGBM,0.010000,0.075000,1.176176
onset,H10,test,M,LightGBM,0.050000,0.140000,2.195529
onset,H10,test,M,LightGBM,0.100000,0.155000,2.430765
onset,H10,test,M,LightGBM,0.200000,0.178750,2.803221
onset,H10,test,M,SMARTBoost,0.010000,0.075000,1.176176
onset,H10,test,M,SMARTBoost,0.050000,0.140000,2.195529
onset,H10,test,M,SMARTBoost,0.100000,0.155000,2.430765
onset,H10,test,M,SMARTBoost,0.200000,0.178750,2.803221
onset,H10,test,C,Logit,0.010000,0.000000,0.000000
onset,H10,test,C,Logit,0.050000,0.085000,1.333000
onset,H10,test,C,Logit,0.100000,0.120000,1.881882
onset,H10,test,C,Logit,0.200000,0.135000,2.117118
onset,H10,test,C,LightGBM,0.010000,0.075000,1.176176
onset,H10,test,C,LightGBM,0.050000,0.140000,2.195529
onset,H10,test,C,LightGBM,0.100000,0.155000,2.430765
onset,H10,test,C,LightGBM,0.200000,0.178750,2.803221
onset,H10,test,C,SMARTBoost,0.010000,0.075000,1.176176
onset,H10,test,C,SMARTBoost,0.050000,0.140000,2.195529
onset,H10,test,C,SMARTBoost,0.100000,0.155000,2.430765
onset,H10,test,C,SMARTBoost,0.200000,0.178750,2.803221
onset,H10,test,ALL,Logit,0.010000,0.000000,0.000000
onset,H10,test,ALL,Logit,0.050000,0.075000,1.176176
onset,H10,test,ALL,Logit,0.100000,0.120000,1.881882
onset,H10,test,ALL,Logit,0.200000,0.132500,2.077912
onset,H10,test,ALL,LightGBM,0.010000,0.075000,1.176176
onset,H10,test,ALL,LightGBM,0.050000,0.140000,2.195529
onset,H10,test,ALL,LightGBM,0.100000,0.155000,2.430765
onset,H10,test,ALL,LightGBM,0.200000,0.178750,2.803221
onset,H10,test,ALL,SMARTBoost,0.010000,0.075000,1.176176
onset,H10,test,ALL,SMARTBoost,0.050000,0.140000,2.195529
onset,H10,test,ALL,SMARTBoost,0.100000,0.155000,2.430765
onset,H10,test,ALL,SMARTBoost,0.200000,0.178750,2.803221
continuation,H5,validation,P,Naive,0.010000,0.650000,4.332250
continuation,H5,validation,P,Naive,0.050000,0.610000,4.065650
continuation,H5,validation,P,Naive,0.100000,0.585000,3.899025
continuation,H5,validation,P,Naive,0.200000,0.521250,3.474131
continuation,H5,validation,M,Naive,0.010000,0.650000,4.332250
continuation,H5,validation,M,Naive,0.050000,0.610000,4.065650
continuation,H5,validation,M,Naive,0.100000,0.585000,3.899025
continuation,H5,validation,M,Naive,0.200000,0.521250,3.474131
continuation,H5,validation,C,Naive,0.010000,0.650000,4.332250
continuation,H5,validation,C,Naive,0.050000,0.610000,4.065650
continuation,H5,validation,C,Naive,0.100000,0.585000,3.899025
continuation,H5,validation,C,Naive,0.200000,0.521250,3.474131
continuation,H5,validation,ALL,Naive,0.010000,0.650000,4.332250
continuation,H5,validation,ALL,Naive,0.050000,0.610000,4.065650
continuation,H5,validation,ALL,Naive,0.100000,0.585000,3.899025
continuation,H5,validation,ALL,Naive,0.200000,0.521250,3.474131
continuation,H5,validation,P,Logit,0.010000,0.850000,5.665250
continuation,H5,validation,P,Logit,0.050000,0.850000,5.665250
continuation,H5,validation,P,Logit,0.100000,0.747500,4.982088
continuation,H5,validation,P,Logit,0.200000,0.572500,3.815713
continuation,H5,validation,P,LightGBM,0.010000,0.125000,0.833125
continuation,H5,validation,P,LightGBM,0.050000,0.205000,1.366325
continuation,H5,validation,P,LightGBM,0.100000,0.260000,1.732900
continuation,H5,validation,P,LightGBM,0.200000,0.363750,2.424394
continuation,H5,validation,P,SMARTBoost,0.010000,0.125000,0.833125
continuation,H5,validation,P,SMARTBoost,0.050000,0.205000,1.366325
continuation,H5,validation,P,SMARTBoost,0.100000,0.260000,1.732900
