task,horizon,period,feature_group,model,Delta_PR_AUC_vs_persistence,Delta_Top5_lift_vs_persistence,Delta_Top10_lift_vs_persistence,comparison,metric,observed_delta,ci_low,ci_high,bootstrap_iterations,rows_used
onset,,,,,,,,H5 ALL_vs_P_same_model,PR_AUC,0.004909,0.001654,0.009872,10.000000,3999.000000
onset,,,,,,,,H5 ALL_vs_P_same_model,Top5_lift,0.962326,0.365885,1.423257,10.000000,3999.000000
onset,,,,,,,,H10 best_vs_naive,PR_AUC,0.020389,0.010705,0.027879,10.000000,3999.000000
onset,,,,,,,,H10 best_vs_naive,Top5_lift,0.862529,0.282013,1.475616,10.000000,3999.000000
onset,,,,,,,,H10 M_vs_P_same_model,PR_AUC,-0.017031,-0.035555,-0.012554,10.000000,3999.000000
onset,,,,,,,,H10 M_vs_P_same_model,Top5_lift,-0.470471,-0.800811,0.117065,10.000000,3999.000000
onset,,,,,,,,H10 C_vs_P_same_model,PR_AUC,0.008820,0.001761,0.016788,10.000000,3999.000000
onset,,,,,,,,H10 C_vs_P_same_model,Top5_lift,-0.313647,-0.746750,0.474509,10.000000,3999.000000
onset,,,,,,,,H10 ALL_vs_P_same_model,PR_AUC,0.006738,-0.009438,0.018701,10.000000,3999.000000
onset,,,,,,,,H10 ALL_vs_P_same_model,Top5_lift,-0.470471,-0.768836,0.223085,10.000000,3999.000000
