task,horizon,period,feature_group,model,status,rows,event_rate,PR_AUC,ROC_AUC,Brier,Top1_hit_rate,Top1_lift,Top5_hit_rate,Top5_lift,Top10_hit_rate,Top10_lift,Top20_hit_rate,Top20_lift,Delta_PR_AUC_vs_persistence,Delta_Top5_lift_vs_persistence,Delta_Top10_lift_vs_persistence
continuation,H10,validation,ALL,Logit,OK,3999,0.161290,0.537495,0.851809,0.136472,0.675000,4.185000,0.690000,4.278000,0.632500,3.921500,0.505000,3.131000,0.000757,0.186000,0.139500
continuation,H10,validation,ALL,LightGBM,OK,3999,0.161290,0.161290,0.500000,0.250000,0.025000,0.155000,0.220000,1.364000,0.267500,1.658500,0.381250,2.363750,-0.375448,-2.728000,-2.123500
continuation,H10,validation,ALL,SMARTBoost,OK,3999,0.161290,0.161290,0.500000,0.250000,0.025000,0.155000,0.220000,1.364000,0.267500,1.658500,0.381250,2.363750,-0.375448,-2.728000,-2.123500
continuation,H10,test,P,Naive,OK,3999,0.208552,0.766627,0.936103,0.110774,0.750000,3.596223,0.865000,4.147644,0.860000,4.123669,0.741250,3.554267,0.000000,0.000000,0.000000
continuation,H10,test,M,Naive,OK,3999,0.208552,0.766627,0.936103,0.110774,0.750000,3.596223,0.865000,4.147644,0.860000,4.123669,0.741250,3.554267,0.000000,0.000000,0.000000
continuation,H10,test,C,Naive,OK,3999,0.208552,0.766627,0.936103,0.110774,0.750000,3.596223,0.865000,4.147644,0.860000,4.123669,0.741250,3.554267,0.000000,0.000000,0.000000
continuation,H10,test,ALL,Naive,OK,3999,0.208552,0.766627,0.936103,0.110774,0.750000,3.596223,0.865000,4.147644,0.860000,4.123669,0.741250,3.554267,0.000000,0.000000,0.000000
continuation,H10,test,P,Logit,OK,3999,0.208552,0.828101,0.946997,0.104232,0.900000,4.315468,0.940000,4.507266,0.907500,4.351430,0.782500,3.752059,0.061474,0.359622,0.227761
continuation,H10,test,P,LightGBM,OK,3999,0.208552,0.208552,0.500000,0.250000,0.050000,0.239748,0.205000,0.982968,0.272500,1.306628,0.365000,1.750162,-0.558075,-3.164676,-2.817041
continuation,H10,test,P,SMARTBoost,OK,3999,0.208552,0.208552,0.500000,0.250000,0.050000,0.239748,0.205000,0.982968,0.272500,1.306628,0.365000,1.750162,-0.558075,-3.164676,-2.817041
continuation,H10,test,M,Logit,OK,3999,0.208552,0.809482,0.939831,0.118256,0.900000,4.315468,0.915000,4.387392,0.902500,4.327455,0.762500,3.656160,0.042855,0.239748,0.203786
continuation,H10,test,M,LightGBM,OK,3999,0.208552,0.208552,0.500000,0.250000,0.050000,0.239748,0.205000,0.982968,0.272500,1.306628,0.365000,1.750162,-0.558075,-3.164676,-2.817041
continuation,H10,test,M,SMARTBoost,OK,3999,0.208552,0.208552,0.500000,0.250000,0.050000,0.239748,0.205000,0.982968,0.272500,1.306628,0.365000,1.750162,-0.558075,-3.164676,-2.817041
continuation,H10,test,C,Logit,OK,3999,0.208552,0.800088,0.934922,0.124077,0.900000,4.315468,0.915000,4.387392,0.895000,4.291493,0.751250,3.602217,0.033461,0.239748,0.167824
continuation,H10,test,C,LightGBM,OK,3999,0.208552,0.208552,0.500000,0.250000,0.050000,0.239748,0.205000,0.982968,0.272500,1.306628,0.365000,1.750162,-0.558075,-3.164676,-2.817041
continuation,H10,test,C,SMARTBoost,OK,3999,0.208552,0.208552,0.500000,0.250000,0.050000,0.239748,0.205000,0.982968,0.272500,1.306628,0.365000,1.750162,-0.558075,-3.164676,-2.817041
continuation,H10,test,ALL,Logit,OK,3999,0.208552,0.775183,0.925506,0.211141,0.900000,4.315468,0.905000,4.339442,0.872500,4.183606,0.728750,3.494330,0.008556,0.191799,0.059937
continuation,H10,test,ALL,LightGBM,OK,3999,0.208552,0.208552,0.500000,0.250000,0.050000,0.239748,0.205000,0.982968,0.272500,1.306628,0.365000,1.750162,-0.558075,-3.164676,-2.817041
continuation,H10,test,ALL,SMARTBoost,OK,3999,0.208552,0.208552,0.500000,0.250000,0.050000,0.239748,0.205000,0.982968,0.272500,1.306628,0.365000,1.750162,-0.558075,-3.164676,-2.817041
