task,horizon,period,feature_group,model,top_frac,hit_rate,lift
onset,H10,test,M,Logit,0.100000,0.091125,2.019391
onset,H10,test,M,Logit,0.200000,0.081875,1.814404
onset,H10,test,M,LightGBM,0.010000,0.242500,5.373961
onset,H10,test,M,LightGBM,0.050000,0.225000,4.986150
onset,H10,test,M,LightGBM,0.100000,0.178250,3.950139
onset,H10,test,M,LightGBM,0.200000,0.133875,2.966759
onset,H10,test,M,SMARTBoost,0.010000,0.213750,4.736842
onset,H10,test,M,SMARTBoost,0.050000,0.221500,4.908587
onset,H10,test,M,SMARTBoost,0.100000,0.183375,4.063712
onset,H10,test,M,SMARTBoost,0.200000,0.135313,2.998615
onset,H10,test,C,Logit,0.010000,0.030000,0.664820
onset,H10,test,C,Logit,0.050000,0.081750,1.811634
onset,H10,test,C,Logit,0.100000,0.092375,2.047091
onset,H10,test,C,Logit,0.200000,0.082000,1.817175
onset,H10,test,C,LightGBM,0.010000,0.255000,5.650970
onset,H10,test,C,LightGBM,0.050000,0.224000,4.963989
onset,H10,test,C,LightGBM,0.100000,0.179500,3.977839
onset,H10,test,C,LightGBM,0.200000,0.133750,2.963989
onset,H10,test,C,SMARTBoost,0.010000,0.206250,4.570637
onset,H10,test,C,SMARTBoost,0.050000,0.218750,4.847645
onset,H10,test,C,SMARTBoost,0.100000,0.183875,4.074792
onset,H10,test,C,SMARTBoost,0.200000,0.134625,2.983380
onset,H10,test,ALL,Logit,0.010000,0.078750,1.745152
onset,H10,test,ALL,Logit,0.050000,0.149500,3.313019
onset,H10,test,ALL,Logit,0.100000,0.140125,3.105263
onset,H10,test,ALL,Logit,0.200000,0.113000,2.504155
onset,H10,test,ALL,LightGBM,0.010000,0.300000,6.648199
onset,H10,test,ALL,LightGBM,0.050000,0.245000,5.429363
onset,H10,test,ALL,LightGBM,0.100000,0.206500,4.576177
onset,H10,test,ALL,LightGBM,0.200000,0.157062,3.480609
onset,H10,test,ALL,SMARTBoost,0.010000,0.291250,6.454294
onset,H10,test,ALL,SMARTBoost,0.050000,0.246000,5.451524
onset,H10,test,ALL,SMARTBoost,0.100000,0.206500,4.576177
onset,H10,test,ALL,SMARTBoost,0.200000,0.154188,3.416898
continuation,H5,validation,P,Naive,0.010000,0.570000,9.764454
continuation,H5,validation,P,Naive,0.050000,0.483000,8.274090
continuation,H5,validation,P,Naive,0.100000,0.388000,6.646681
continuation,H5,validation,P,Naive,0.200000,0.244250,4.184154
continuation,H5,validation,M,Naive,0.010000,0.570000,9.764454
continuation,H5,validation,M,Naive,0.050000,0.483000,8.274090
continuation,H5,validation,M,Naive,0.100000,0.388000,6.646681
continuation,H5,validation,M,Naive,0.200000,0.244250,4.184154
continuation,H5,validation,C,Naive,0.010000,0.570000,9.764454
continuation,H5,validation,C,Naive,0.050000,0.483000,8.274090
continuation,H5,validation,C,Naive,0.100000,0.388000,6.646681
continuation,H5,validation,C,Naive,0.200000,0.244250,4.184154
continuation,H5,validation,ALL,Naive,0.010000,0.570000,9.764454
continuation,H5,validation,ALL,Naive,0.050000,0.483000,8.274090
continuation,H5,validation,ALL,Naive,0.100000,0.388000,6.646681
continuation,H5,validation,ALL,Naive,0.200000,0.244250,4.184154
continuation,H5,validation,P,Logit,0.010000,0.916250,15.695931
continuation,H5,validation,P,Logit,0.050000,0.679500,11.640257
continuation,H5,validation,P,Logit,0.100000,0.419625,7.188437
continuation,H5,validation,P,Logit,0.200000,0.243562,4.172377
continuation,H5,validation,P,LightGBM,0.010000,0.950000,16.274090
continuation,H5,validation,P,LightGBM,0.050000,0.677750,11.610278
continuation,H5,validation,P,LightGBM,0.100000,0.426125,7.299786
continuation,H5,validation,P,LightGBM,0.200000,0.250500,4.291221
continuation,H5,validation,P,SMARTBoost,0.010000,0.948750,16.252677
continuation,H5,validation,P,SMARTBoost,0.050000,0.670000,11.477516
continuation,H5,validation,P,SMARTBoost,0.100000,0.425625,7.291221
continuation,H5,validation,P,SMARTBoost,0.200000,0.251688,4.311563
continuation,H5,validation,M,Logit,0.010000,0.931250,15.952891
continuation,H5,validation,M,Logit,0.050000,0.660000,11.306210
continuation,H5,validation,M,Logit,0.100000,0.413875,7.089936
continuation,H5,validation,M,Logit,0.200000,0.241437,4.135974
continuation,H5,validation,M,LightGBM,0.010000,0.947500,16.231263
continuation,H5,validation,M,LightGBM,0.050000,0.678000,11.614561
continuation,H5,validation,M,LightGBM,0.100000,0.426250,7.301927
continuation,H5,validation,M,LightGBM,0.200000,0.251563,4.309422
continuation,H5,validation,M,SMARTBoost,0.010000,0.941250,16.124197
continuation,H5,validation,M,SMARTBoost,0.050000,0.671250,11.498929
continuation,H5,validation,M,SMARTBoost,0.100000,0.426125,7.299786
continuation,H5,validation,M,SMARTBoost,0.200000,0.252375,4.323340
continuation,H5,validation,C,Logit,0.010000,0.903750,15.481799
continuation,H5,validation,C,Logit,0.050000,0.651750,11.164882
continuation,H5,validation,C,Logit,0.100000,0.412125,7.059957
continuation,H5,validation,C,Logit,0.200000,0.240063,4.112420
continuation,H5,validation,C,LightGBM,0.010000,0.948750,16.252677
continuation,H5,validation,C,LightGBM,0.050000,0.676000,11.580300
continuation,H5,validation,C,LightGBM,0.100000,0.425500,7.289079
continuation,H5,validation,C,LightGBM,0.200000,0.251500,4.308351
continuation,H5,validation,C,SMARTBoost,0.010000,0.945000,16.188437
continuation,H5,validation,C,SMARTBoost,0.050000,0.671000,11.494647
continuation,H5,validation,C,SMARTBoost,0.100000,0.425625,7.291221
continuation,H5,validation,C,SMARTBoost,0.200000,0.252188,4.320128
continuation,H5,validation,ALL,Logit,0.010000,0.933750,15.995717
continuation,H5,validation,ALL,Logit,0.050000,0.656500,11.246253
continuation,H5,validation,ALL,Logit,0.100000,0.421250,7.216274
continuation,H5,validation,ALL,Logit,0.200000,0.246125,4.216274
continuation,H5,validation,ALL,LightGBM,0.010000,0.935000,16.017131
continuation,H5,validation,ALL,LightGBM,0.050000,0.679500,11.640257
continuation,H5,validation,ALL,LightGBM,0.100000,0.435875,7.466809
continuation,H5,validation,ALL,LightGBM,0.200000,0.258250,4.423983
continuation,H5,validation,ALL,SMARTBoost,0.010000,0.928750,15.910064
continuation,H5,validation,ALL,SMARTBoost,0.050000,0.674250,11.550321
continuation,H5,validation,ALL,SMARTBoost,0.100000,0.433000,7.417559
continuation,H5,validation,ALL,SMARTBoost,0.200000,0.257437,4.410064
continuation,H5,test,P,Naive,0.010000,0.727500,8.826206
continuation,H5,test,P,Naive,0.050000,0.611500,7.418866
continuation,H5,test,P,Naive,0.100000,0.498000,6.041856
continuation,H5,test,P,Naive,0.200000,0.337625,4.096148
continuation,H5,test,M,Naive,0.010000,0.727500,8.826206
continuation,H5,test,M,Naive,0.050000,0.611500,7.418866
continuation,H5,test,M,Naive,0.100000,0.498000,6.041856
continuation,H5,test,M,Naive,0.200000,0.337625,4.096148
continuation,H5,test,C,Naive,0.010000,0.727500,8.826206
continuation,H5,test,C,Naive,0.050000,0.611500,7.418866
continuation,H5,test,C,Naive,0.100000,0.498000,6.041856
continuation,H5,test,C,Naive,0.200000,0.337625,4.096148
continuation,H5,test,ALL,Naive,0.010000,0.727500,8.826206
continuation,H5,test,ALL,Naive,0.050000,0.611500,7.418866
continuation,H5,test,ALL,Naive,0.100000,0.498000,6.041856
continuation,H5,test,ALL,Naive,0.200000,0.337625,4.096148
continuation,H5,test,P,Logit,0.010000,0.928750,11.267819
continuation,H5,test,P,Logit,0.050000,0.835250,10.133455
continuation,H5,test,P,Logit,0.100000,0.593625,7.202002
continuation,H5,test,P,Logit,0.200000,0.350562,4.253109
continuation,H5,test,P,LightGBM,0.010000,0.972500,11.798605
continuation,H5,test,P,LightGBM,0.050000,0.850750,10.321504
continuation,H5,test,P,LightGBM,0.100000,0.592375,7.186837
continuation,H5,test,P,LightGBM,0.200000,0.351687,4.266758
continuation,H5,test,P,SMARTBoost,0.010000,0.968750,11.753109
continuation,H5,test,P,SMARTBoost,0.050000,0.847000,10.276008
continuation,H5,test,P,SMARTBoost,0.100000,0.590375,7.162572
continuation,H5,test,P,SMARTBoost,0.200000,0.351750,4.267516
continuation,H5,test,M,Logit,0.010000,0.936250,11.358811
continuation,H5,test,M,Logit,0.050000,0.820250,9.951471
continuation,H5,test,M,Logit,0.100000,0.585375,7.101911
continuation,H5,test,M,Logit,0.200000,0.346500,4.203822
continuation,H5,test,M,LightGBM,0.010000,0.948750,11.510464
continuation,H5,test,M,LightGBM,0.050000,0.850750,10.321504
continuation,H5,test,M,LightGBM,0.100000,0.590125,7.159539
continuation,H5,test,M,LightGBM,0.200000,0.351313,4.262208
continuation,H5,test,M,SMARTBoost,0.010000,0.981250,11.904762
continuation,H5,test,M,SMARTBoost,0.050000,0.846250,10.266909
continuation,H5,test,M,SMARTBoost,0.100000,0.592250,7.185320
continuation,H5,test,M,SMARTBoost,0.200000,0.352187,4.272824
continuation,H5,test,C,Logit,0.010000,0.936250,11.358811
continuation,H5,test,C,Logit,0.050000,0.820000,9.948438
continuation,H5,test,C,Logit,0.100000,0.585000,7.097361
continuation,H5,test,C,Logit,0.200000,0.347062,4.210646
continuation,H5,test,C,LightGBM,0.010000,0.947500,11.495299
continuation,H5,test,C,LightGBM,0.050000,0.848750,10.297240
continuation,H5,test,C,LightGBM,0.100000,0.591000,7.170155
continuation,H5,test,C,LightGBM,0.200000,0.351375,4.262966
continuation,H5,test,C,SMARTBoost,0.010000,0.982500,11.919927
continuation,H5,test,C,SMARTBoost,0.050000,0.845750,10.260843
continuation,H5,test,C,SMARTBoost,0.100000,0.586500,7.115560
continuation,H5,test,C,SMARTBoost,0.200000,0.351313,4.262208
continuation,H5,test,ALL,Logit,0.010000,0.955000,11.586291
continuation,H5,test,ALL,Logit,0.050000,0.829250,10.060661
continuation,H5,test,ALL,Logit,0.100000,0.594000,7.206551
continuation,H5,test,ALL,Logit,0.200000,0.355187,4.309221
continuation,H5,test,ALL,LightGBM,0.010000,0.955000,11.586291
continuation,H5,test,ALL,LightGBM,0.050000,0.847250,10.279042
continuation,H5,test,ALL,LightGBM,0.100000,0.593625,7.202002
continuation,H5,test,ALL,LightGBM,0.200000,0.360125,4.369123
continuation,H5,test,ALL,SMARTBoost,0.010000,0.981250,11.904762
continuation,H5,test,ALL,SMARTBoost,0.050000,0.845500,10.257810
continuation,H5,test,ALL,SMARTBoost,0.100000,0.594375,7.211101
continuation,H5,test,ALL,SMARTBoost,0.200000,0.358312,4.347134
continuation,H10,validation,P,Naive,0.010000,0.590000,9.302326
continuation,H10,validation,P,Naive,0.050000,0.495250,7.808435
continuation,H10,validation,P,Naive,0.100000,0.393375,6.202207
continuation,H10,validation,P,Naive,0.200000,0.250000,3.941663
continuation,H10,validation,M,Naive,0.010000,0.590000,9.302326
continuation,H10,validation,M,Naive,0.050000,0.495250,7.808435
continuation,H10,validation,M,Naive,0.100000,0.393375,6.202207
continuation,H10,validation,M,Naive,0.200000,0.250000,3.941663
continuation,H10,validation,C,Naive,0.010000,0.590000,9.302326
continuation,H10,validation,C,Naive,0.050000,0.495250,7.808435
continuation,H10,validation,C,Naive,0.100000,0.393375,6.202207
continuation,H10,validation,C,Naive,0.200000,0.250000,3.941663
continuation,H10,validation,ALL,Naive,0.010000,0.590000,9.302326
continuation,H10,validation,ALL,Naive,0.050000,0.495250,7.808435
continuation,H10,validation,ALL,Naive,0.100000,0.393375,6.202207
continuation,H10,validation,ALL,Naive,0.200000,0.250000,3.941663
continuation,H10,validation,P,Logit,0.010000,0.866250,13.657864
continuation,H10,validation,P,Logit,0.050000,0.613750,9.676784
continuation,H10,validation,P,Logit,0.100000,0.403875,6.367757
continuation,H10,validation,P,Logit,0.200000,0.245000,3.862830
continuation,H10,validation,P,LightGBM,0.010000,0.921250,14.525030
continuation,H10,validation,P,LightGBM,0.050000,0.623750,9.834450
continuation,H10,validation,P,LightGBM,0.100000,0.417125,6.576665
continuation,H10,validation,P,LightGBM,0.200000,0.251688,3.968270
continuation,H10,validation,P,SMARTBoost,0.010000,0.913750,14.406780
continuation,H10,validation,P,SMARTBoost,0.050000,0.628000,9.901458
continuation,H10,validation,P,SMARTBoost,0.100000,0.415500,6.551045
continuation,H10,validation,P,SMARTBoost,0.200000,0.252063,3.974182
continuation,H10,validation,M,Logit,0.010000,0.842500,13.283406
continuation,H10,validation,M,Logit,0.050000,0.586000,9.239259
continuation,H10,validation,M,Logit,0.100000,0.396000,6.243595
continuation,H10,validation,M,Logit,0.200000,0.242000,3.815530
continuation,H10,validation,M,LightGBM,0.010000,0.908750,14.327946
continuation,H10,validation,M,LightGBM,0.050000,0.624750,9.850217
continuation,H10,validation,M,LightGBM,0.100000,0.412375,6.501774
continuation,H10,validation,M,LightGBM,0.200000,0.246125,3.880568
continuation,H10,validation,M,SMARTBoost,0.010000,0.896250,14.130863
continuation,H10,validation,M,SMARTBoost,0.050000,0.622750,9.818683
continuation,H10,validation,M,SMARTBoost,0.100000,0.410500,6.472211
continuation,H10,validation,M,SMARTBoost,0.200000,0.246938,3.893378
continuation,H10,validation,C,Logit,0.010000,0.847500,13.362239
continuation,H10,validation,C,Logit,0.050000,0.584750,9.219551
continuation,H10,validation,C,Logit,0.100000,0.396125,6.245566
continuation,H10,validation,C,Logit,0.200000,0.242063,3.816516
continuation,H10,validation,C,LightGBM,0.010000,0.895000,14.111155
continuation,H10,validation,C,LightGBM,0.050000,0.625500,9.862042
continuation,H10,validation,C,LightGBM,0.100000,0.411375,6.486007
continuation,H10,validation,C,LightGBM,0.200000,0.246938,3.893378
continuation,H10,validation,C,SMARTBoost,0.010000,0.891250,14.052030
continuation,H10,validation,C,SMARTBoost,0.050000,0.621750,9.802917
continuation,H10,validation,C,SMARTBoost,0.100000,0.409750,6.460386
