horizon,MarketLSI,CrossStress,IndexRet,IndexRV,MarketRelAmt,MarketLSI_baseline,MarketLSI_response,CrossStress_baseline,CrossStress_response,IndexRet_baseline,IndexRet_response,IndexRV_baseline,IndexRV_response,MarketRelAmt_baseline,MarketRelAmt_response,quantile,shock_size,scenario,scenario_cn,shock_definition
3,0.4162121670597105,0.48486507938021606,1.424786979487482,1.5159719932281681,-0.9919302819786471,0.7577551917062715,-0.341543024646561,1.058961663879415,-0.574096584499199,2.0064933187722147,-0.5817063392847328,0.8340569615864797,0.6819150316416884,0.6429795392387768,-1.6349098212174238,0.95,1.5,composite_pressure,复合压力,IndexRet 下降、IndexRV 上升、MarketRelAmt 下降
4,0.6065914168030382,0.7044817992881485,1.5554829135376946,1.6037862793224793,-0.8008249194382968,1.0994013660114765,-0.49280994920843835,1.4817783178559862,-0.7772965185678378,2.2729052088802844,-0.7174222953425897,1.2257905593253544,0.3779957199971249,0.8918582181402512,-1.692683137578548,0.95,1.5,composite_pressure,复合压力,IndexRet 下降、IndexRV 上升、MarketRelAmt 下降
5,0.8226995852389043,0.9542802469012162,1.7056969447885646,1.736370864778834,-0.5959838910859256,1.4844627400622268,-0.6617631548233225,1.9390751268958937,-0.9847948799946775,2.5607073433197165,-0.8550103985311519,1.6770220195214687,0.05934884525736539,1.1593192245148327,-1.7553031156007584,0.95,1.5,composite_pressure,复合压力,IndexRet 下降、IndexRV 上升、MarketRelAmt 下降
6,1.066843097889187,1.234946029889899,1.87702522143876,1.916214246204647,-0.37680062652827057,1.9133626210241528,-0.8465195231349658,2.4303635536081867,-1.1954175237182876,2.870545795778088,-0.9935205743393283,2.189317583478402,-0.273103337273755,1.4454614384004572,-1.8222620649287278,0.95,1.5,composite_pressure,复合压力,IndexRet 下降、IndexRV 上升、MarketRelAmt 下降
7,1.3411046211896147,1.5469799849461547,2.069834936502467,2.145665793158747,-0.14275175253628958,2.386315422959087,-1.0452108017694723,2.9548999662070368,-1.407919981260882,3.202330285896056,-1.1324953493935892,2.764003566040493,-0.6183377728817461,1.7502490073561119,-1.8930007598924015,0.95,1.5,composite_pressure,复合压力,IndexRet 下降、IndexRV 上升、MarketRelAmt 下降
8,1.647325971774144,1.8906833516546253,2.284311361162788,2.426913462847588,0.1065976103257596,2.9032968674836646,-1.2559708957095206,3.511665563760378,-1.6209822121057529,3.5557553371359116,-1.2714439759731238,3.4021318386578367,-0.9752183758102486,2.073502091024795,-1.9669044806990357,0.95,1.5,composite_pressure,复合压力,IndexRet 下降、IndexRV 上升、MarketRelAmt 下降
9,1.9870989704683795,2.2661431073916414,2.520535668001088,2.7619616926688497,0.3715845312608535,3.4640188710255804,-1.476919900557201,4.099346922289432,-1.8332038148977907,3.9303329724213443,-1.4097973044202563,4.104445311146018,-1.3424836184771687,2.4148856657853823,-2.043301134524529,0.95,1.5,composite_pressure,复合压力,IndexRet 下降、IndexRV 上升、MarketRelAmt 下降
10,2.36175531068057,2.6732168222791284,2.7784798883506854,3.152607726070846,0.6524383759643142,4.067904644921097,-1.7061493342405272,4.716316923537311,-2.043100101258182,4.3253837557176835,-1.5469038673669981,4.87134261651661,-1.7187348904457638,2.773898178570169,-2.1214598026058544,0.95,1.5,composite_pressure,复合压力,IndexRet 下降、IndexRV 上升、MarketRelAmt 下降
11,2.7723548483838822,3.111517098178138,3.0579947127780853,3.6004163269480793,0.9492706732077452,4.714063751734744,-1.9417089033508619,5.360616191695035,-2.249099093516897,4.740024411863321,-1.682029699085236,5.702842074553066,-2.102425747604987,3.1498602771158914,-2.2005896039081465,0.95,1.5,composite_pressure,复合压力,IndexRet 下降、IndexRV 上升、MarketRelAmt 下降
12,3.2196724331999094,3.580395722517952,3.358796644489194,4.106692992740087,1.2620648180826897,5.401267234432763,-2.1815948012328534,6.029935204843961,-2.4495394823260095,5.173155382545262,-1.8143587380560677,6.598545102469256,-2.4918521097291686,3.5419037167185268,-2.279838898635837,0.95,1.5,composite_pressure,复合压力,IndexRet 下降、IndexRV 上升、MarketRelAmt 下降
