date,datetime,period,pressure_innovation,realized_pressure_scale,realized_pressure_measure,measure,model,lambda_t,s_t,k_t,z_t,u_t,loglik_t,squared_error,absolute_error
2026-05-06,2026-05-06,test,1.4941537901646118,0.6877820697803408,26.313483156891905,MedRV_pressure,RGARCH-CARR-SK-MedRV,54.598150033144236,-1.5,3.0001,0.5182147413673241,0.012597168024242896,-1.8246479993677696,2906.3277739452924,53.910367963363896
2026-05-07,2026-05-07,test,3.445237153485744,0.4952527585524762,13.643646141423774,MedRV_pressure,RGARCH-CARR-SK-MedRV,54.598150033144236,-1.5,3.0001,1.1949055660769803,0.009070870684296612,-2.240178289004275,2927.123493505029,54.10289727459176
2026-05-08,2026-05-08,test,0.3617131027451131,0.3248649821773287,5.870599341283456,MedRV_pressure,RGARCH-CARR-SK-MedRV,54.598150033144236,-1.5,3.0001,0.12545232172357584,0.005950109701155018,-2.1252228089903147,2945.5894702235078,54.273285050966905
2026-05-11,2026-05-11,test,0.8694751650268517,0.9003743419134801,45.09442580648071,MedRV_pressure,RGARCH-CARR-SK-MedRV,54.598150033144236,-1.5,3.0001,0.301558548213475,0.016490931311168983,-1.9451943608851354,2883.4511141857324,53.69777569123075
2026-05-12,2026-05-12,test,0.7541029293207031,1.3225906339048275,97.30329035545724,MedRV_pressure,RGARCH-CARR-SK-MedRV,54.598150033144236,-1.5,3.0001,0.26154419782933885,0.02422409244822285,-1.9797651898332902,2838.2852293018864,53.275559399239405
2026-05-13,2026-05-13,test,0.08402019847215048,1.1714248918394043,76.33180585914425,MedRV_pressure,RGARCH-CARR-SK-MedRV,54.598150033144236,-1.5,3.0001,0.02914057823731774,0.021455395304205028,-2.253490064681227,2854.4149593245334,53.42672514130483
2023-05-15,2023-05-15,train,2.8063590837894585,1.101471018931834,95.66283399536087,RMAD_pressure,RGARCH-CARR-SK-RMAD,0.9877804866481731,-0.5145169636034894,3.0001,1.18016755732943,1.1150969611370296,-2.2233582360142394,0.012925537130942138,0.11369053228366088
2023-05-16,2023-05-16,train,3.0166714218557473,0.9722491629642677,74.53362583480163,RMAD_pressure,RGARCH-CARR-SK-RMAD,1.0317352520217213,-1.42537289061928,3.0001,1.2145645860401793,0.9423436497484324,-2.128706606711051,0.0035385947913513095,0.05948608905745367
2023-05-17,2023-05-17,train,2.0107275069969903,0.8830736501785995,61.48808186060744,RMAD_pressure,RGARCH-CARR-SK-RMAD,1.0090481376909735,-1.5,3.0001,0.8277557542035558,0.8751551260967152,-1.68475125170478,0.01586957150400526,0.12597448751237394
2023-05-18,2023-05-18,train,1.7381577472336092,0.8927267207756638,62.839708422219424,RMAD_pressure,RGARCH-CARR-SK-RMAD,0.9734608996306233,-1.5,3.0001,0.7417055876603875,0.9170647954267154,-1.6150749140740475,0.006518007635384587,0.08073417885495948
2023-05-19,2023-05-19,train,1.64804047905318,1.0223165129695293,82.40770976240421,RMAD_pressure,RGARCH-CARR-SK-RMAD,0.9622878856120173,-1.5,3.0001,0.7114161675339274,1.062381152516883,-1.5963243754474967,0.0036034361024270406,0.06002862735751202
2023-05-22,2023-05-22,train,2.97554992110302,1.0476919047842983,86.54944145593697,RMAD_pressure,RGARCH-CARR-SK-RMAD,1.0043021577327693,-1.5,3.0001,1.2307326428622496,1.0432038771573309,-2.12482429111258,0.0018826701491956679,0.04338974705152898
2023-05-23,2023-05-23,train,1.2818955647788615,0.8594351959798009,58.24026779993666,RMAD_pressure,RGARCH-CARR-SK-RMAD,1.0215225205626224,-1.5,3.0001,0.5212734119223569,0.8413277031880326,-1.6646608977958066,0.026272300790416928,0.1620873245828215
2023-05-24,2023-05-24,train,3.019616491535111,1.0042594130681999,79.52229683572135,RMAD_pressure,RGARCH-CARR-SK-RMAD,0.981502185636271,-1.5,3.0001,1.2779721571194096,1.0231861199750423,-2.1892095328431145,0.0005178914003885359,0.022757227431928873
