task,horizon,period,feature_group,model,top_frac,hit_rate,lift
continuation,H5,validation,P,SMARTBoost,0.01,0.925508,18.312815
continuation,H5,validation,P,SMARTBoost,0.05,0.608233,12.034968
continuation,H5,validation,P,SMARTBoost,0.1,0.377428,7.468073
continuation,H5,validation,P,SMARTBoost,0.2,0.216816,4.290089
continuation,H5,validation,M,Logit,0.01,0.825784,16.339586
continuation,H5,validation,M,Logit,0.05,0.597167,11.815996
continuation,H5,validation,M,Logit,0.1,0.372287,7.366348
continuation,H5,validation,M,Logit,0.2,0.213761,4.229637
continuation,H5,validation,M,LightGBM,0.01,0.928865,18.379236
continuation,H5,validation,M,LightGBM,0.05,0.609078,12.051686
continuation,H5,validation,M,LightGBM,0.1,0.377888,7.477178
continuation,H5,validation,M,LightGBM,0.2,0.218053,4.314569
continuation,H5,validation,M,SMARTBoost,0.01,0.925508,18.312815
continuation,H5,validation,M,SMARTBoost,0.05,0.605321,11.977351
continuation,H5,validation,M,SMARTBoost,0.1,0.377198,7.46352
continuation,H5,validation,M,SMARTBoost,0.2,0.217925,4.312031
continuation,H5,validation,C,Logit,0.01,0.830046,16.423919
continuation,H5,validation,C,Logit,0.05,0.599407,11.860327
continuation,H5,validation,C,Logit,0.1,0.372524,7.37105
continuation,H5,validation,C,Logit,0.2,0.213391,4.222323
continuation,H5,validation,C,LightGBM,0.01,0.926904,18.340428
continuation,H5,validation,C,LightGBM,0.05,0.609146,12.053029
continuation,H5,validation,C,LightGBM,0.1,0.377582,7.471133
continuation,H5,validation,C,LightGBM,0.2,0.218123,4.31595
continuation,H5,validation,C,SMARTBoost,0.01,0.925508,18.312815
continuation,H5,validation,C,SMARTBoost,0.05,0.606,11.990785
continuation,H5,validation,C,SMARTBoost,0.1,0.377194,7.463446
continuation,H5,validation,C,SMARTBoost,0.2,0.217887,4.311285
continuation,H5,validation,ALL,Logit,0.01,0.838532,16.591837
continuation,H5,validation,ALL,Logit,0.05,0.603503,11.941378
continuation,H5,validation,ALL,Logit,0.1,0.378657,7.492403
continuation,H5,validation,ALL,Logit,0.2,0.217563,4.304867
continuation,H5,validation,ALL,LightGBM,0.01,0.93837,18.567305
continuation,H5,validation,ALL,LightGBM,0.05,0.617429,12.216922
continuation,H5,validation,ALL,LightGBM,0.1,0.387257,7.662566
continuation,H5,validation,ALL,LightGBM,0.2,0.22562,4.464283
continuation,H5,validation,ALL,SMARTBoost,0.01,0.910534,18.016532
continuation,H5,validation,ALL,SMARTBoost,0.05,0.610443,12.078703
continuation,H5,validation,ALL,SMARTBoost,0.1,0.385492,7.627638
continuation,H5,validation,ALL,SMARTBoost,0.2,0.224267,4.437527
continuation,H5,test,P,Naive,0.01,0.454151,8.345795
continuation,H5,test,P,Naive,0.05,0.448282,8.237941
continuation,H5,test,P,Naive,0.1,0.35215,6.471364
continuation,H5,test,P,Naive,0.2,0.224442,4.124504
continuation,H5,test,M,Naive,0.01,0.454151,8.345795
continuation,H5,test,M,Naive,0.05,0.448282,8.237941
continuation,H5,test,M,Naive,0.1,0.35215,6.471364
continuation,H5,test,M,Naive,0.2,0.224442,4.124504
continuation,H5,test,C,Naive,0.01,0.454151,8.345795
continuation,H5,test,C,Naive,0.05,0.448282,8.237941
continuation,H5,test,C,Naive,0.1,0.35215,6.471364
continuation,H5,test,C,Naive,0.2,0.224442,4.124504
continuation,H5,test,ALL,Naive,0.01,0.454151,8.345795
continuation,H5,test,ALL,Naive,0.05,0.448282,8.237941
continuation,H5,test,ALL,Naive,0.1,0.35215,6.471364
continuation,H5,test,ALL,Naive,0.2,0.224442,4.124504
continuation,H5,test,P,Logit,0.01,0.828499,15.225089
continuation,H5,test,P,Logit,0.05,0.639656,11.754765
continuation,H5,test,P,Logit,0.1,0.398219,7.317953
continuation,H5,test,P,Logit,0.2,0.229083,4.209801
continuation,H5,test,P,LightGBM,0.01,0.965821,17.748607
continuation,H5,test,P,LightGBM,0.05,0.656998,12.073467
continuation,H5,test,P,LightGBM,0.1,0.406871,7.476958
continuation,H5,test,P,LightGBM,0.2,0.23408,4.301623
