model_period,quantile,target,regressor,estimate,pseudo_rsquared,nobs
train_only,0.9,CrossStress,IndexRV,-0.06723734760617228,0.8084269631866418,100049
train_only,0.9,CrossStress,MarketRelAmt,0.013519839017787527,0.8084269631866418,100049
train_only,0.9,IndexRet,const,1.0791020121502184,0.12949537461883276,100049
train_only,0.9,IndexRet,MarketLSI,-0.2932004456580213,0.12949537461883276,100049
train_only,0.9,IndexRet,CrossStress,0.46453295563781005,0.12949537461883276,100049
train_only,0.9,IndexRet,IndexRet,0.08616790077459979,0.12949537461883276,100049
train_only,0.9,IndexRet,IndexRV,0.20088467171875113,0.12949537461883276,100049
train_only,0.9,IndexRet,MarketRelAmt,0.25742694610166034,0.12949537461883276,100049
train_only,0.9,IndexRV,const,0.13425929014294813,0.7701182159892134,100049
train_only,0.9,IndexRV,MarketLSI,-0.05518229653644707,0.7701182159892134,100049
train_only,0.9,IndexRV,CrossStress,0.1412933348007983,0.7701182159892134,100049
train_only,0.9,IndexRV,IndexRet,0.0005684306639558434,0.7701182159892134,100049
train_only,0.9,IndexRV,IndexRV,0.9359649843442734,0.7701182159892134,100049
train_only,0.9,IndexRV,MarketRelAmt,0.06205500603616351,0.7701182159892134,100049
train_only,0.9,MarketRelAmt,const,0.1328487755122325,0.8608887280004198,100049
train_only,0.9,MarketRelAmt,MarketLSI,-0.020255270903083433,0.8608887280004198,100049
train_only,0.9,MarketRelAmt,CrossStress,0.06256702538982162,0.8608887280004198,100049
train_only,0.9,MarketRelAmt,IndexRet,-0.00013889031479041858,0.8608887280004198,100049
train_only,0.9,MarketRelAmt,IndexRV,-0.020884428133732424,0.8608887280004198,100049
train_only,0.9,MarketRelAmt,MarketRelAmt,0.9780992366913684,0.8608887280004198,100049
train_only,0.95,MarketLSI,const,0.20318875337913056,0.8053724660640549,100049
train_only,0.95,MarketLSI,MarketLSI,0.8539047562472133,0.8053724660640549,100049
train_only,0.95,MarketLSI,CrossStress,0.22521333982760794,0.8053724660640549,100049
train_only,0.95,MarketLSI,IndexRet,0.007927703929058616,0.8053724660640549,100049
train_only,0.95,MarketLSI,IndexRV,-0.028749609769199935,0.8053724660640549,100049
train_only,0.95,MarketLSI,MarketRelAmt,0.02914787073610725,0.8053724660640549,100049
train_only,0.95,CrossStress,const,0.31765557292763136,0.8147553943360949,100049
train_only,0.95,CrossStress,MarketLSI,-0.039006627189603904,0.8147553943360949,100049
train_only,0.95,CrossStress,CrossStress,1.1860842529413045,0.8147553943360949,100049
train_only,0.95,CrossStress,IndexRet,0.00024318656166144592,0.8147553943360949,100049
train_only,0.95,CrossStress,IndexRV,-0.0960857429186035,0.8147553943360949,100049
train_only,0.95,CrossStress,MarketRelAmt,0.026930088313716016,0.8147553943360949,100049
train_only,0.95,IndexRet,const,1.427108352009344,0.17608375509425112,100049
train_only,0.95,IndexRet,MarketLSI,-0.2938462230164737,0.17608375509425112,100049
train_only,0.95,IndexRet,CrossStress,0.5421326819275798,0.17608375509425112,100049
train_only,0.95,IndexRet,IndexRet,0.08180538138729754,0.17608375509425112,100049
train_only,0.95,IndexRet,IndexRV,0.13583248893648037,0.17608375509425112,100049
train_only,0.95,IndexRet,MarketRelAmt,0.3373803264160148,0.17608375509425112,100049
train_only,0.95,IndexRV,const,0.22202911394572758,0.7867324374143388,100049
train_only,0.95,IndexRV,MarketLSI,-0.06441061139979354,0.7867324374143388,100049
train_only,0.95,IndexRV,CrossStress,0.20842931906064172,0.7867324374143388,100049
train_only,0.95,IndexRV,IndexRet,0.0009038426712209002,0.7867324374143388,100049
train_only,0.95,IndexRV,IndexRV,0.9229464732307733,0.7867324374143388,100049
train_only,0.95,IndexRV,MarketRelAmt,0.0936993682187296,0.7867324374143388,100049
train_only,0.95,MarketRelAmt,const,0.19956550970385756,0.8364931050575604,100049
train_only,0.95,MarketRelAmt,MarketLSI,-0.011152446205159094,0.8364931050575604,100049
train_only,0.95,MarketRelAmt,CrossStress,0.10912937401282718,0.8364931050575604,100049
train_only,0.95,MarketRelAmt,IndexRet,-0.0035565441653555574,0.8364931050575604,100049
train_only,0.95,MarketRelAmt,IndexRV,-0.04632115390642966,0.8364931050575604,100049
train_only,0.95,MarketRelAmt,MarketRelAmt,0.9812915239929685,0.8364931050575604,100049
